"Test","Arg","N","min_ms","usPerOp"
"t70_rec_baseline","D=50","50","273.4","5467.8"
"t71_rec_curfor","D=50","50","264.9","5297.1"
"t72_rec_setlocal","D=50","50","299.3","5986.6"
"t73_rec_global","D=50","50","560.0","11199.9"
"t74_rec_global_noread","D=50","50","279.9","5598.8"
"t70_rec_baseline","D=100","100","447.5","4474.7"
"t71_rec_curfor","D=100","100","487.0","4870.2"
"t72_rec_setlocal","D=100","100","549.2","5492.0"
"t73_rec_global","D=100","100","1080.2","10802.4"
"t74_rec_global_noread","D=100","100","530.2","5302.1"
"t70_rec_baseline","D=200","200","755.2","3775.8"
"t71_rec_curfor","D=200","200","841.5","4207.6"
"t72_rec_setlocal","D=200","200","969.5","4847.5"
"t73_rec_global","D=200","200","2023.5","10117.5"
"t74_rec_global_noread","D=200","200","911.0","4554.9"
